,0
Ashley,-0.21443988935201252
Bedminster,0.555337964623986
Avonmouth and Lawrence Weston,0.6671113081666057
Bishopsworth,-0.4789316677787938
Bishopston and Ashley Down,0.614696219221196
Brislington East,0.27481509398594406
Easton,-2.221919728894358
Clifton,-0.06874088401598333
Frome Vale,0.6915099026327685
Filwood,0.3749908300106164
Cotham,0.040713826941817244
Clifton Down,0.08725162101244865
Brislington West,0.3883019700775281
Eastville,0.6043271450468246
Central,-0.13266400415373747
Hartcliffe and Withywood,0.2942173888284868
Lockleaze,-1.6723251915173964
Hillfields,0.2652888264995078
Henbury and Brentry,-1.0911584372828944
Redland,0.5254588707087207
Horfield,-1.6268280122744785
Knowle,-0.17286434235177928
Lawrence Hill,0.26565972016826067
Hengrove and Whitchurch Park,0.5473202525867091
Hotwells and Harbourside,-5.071471475395865
St George Central,0.43310537634442636
Stockwood,-2.224986307860694
Southmead,-3.291280365890705
Stoke Bishop,-5.10009268323057
Westbury-on-Trym and Henleaze,-2.639791739655613
Windmill Hill,0.7497998935100358
Southville,-2.065383515705592
St George Troopers Hill,-2.5146213595644564
St George West,0.275082298125244
