,1,2,3,4,5,6,7,8,9,10
Cotham,0.8778205042955359,0.877464909079255,0.6389715729752505,0.72950897756022,0.698248690855712,0.7009684523602908,0.6493411060830286,0.6042214455443984,0.5824869682110025,0.4789988913747023
Clifton Down,0.4729228073299089,0.5607976074549952,0.6267994556579273,0.747684967162492,0.5954041093355327,0.4547870280958346,0.4580285128724819,0.7278814581741774,0.6853548640266847,0.7590228533929272
Brislington West,0.7544507433429004,0.8720751120408728,0.8768978378969595,0.9295210720227555,0.926871931680612,0.912393042959193,0.9140380262857284,0.9128021990029679,0.9245990475555561,0.9190260122338159
Eastville,0.9091568107483634,0.968219858278214,0.9736705737104656,0.9702221534598909,0.9656938297969574,0.9767026837702019,0.9749266990832486,0.974701153305116,0.9760502464113876,0.9845796004201478
Central,0.5609211953955306,0.5467620172776761,0.49412909589413,0.5594140803482842,0.5815562890237695,0.6021638605509394,0.6369210504311598,0.6130189796165411,0.689486475474953,0.6562476948837177
Hartcliffe and Withywood,0.9533750233875271,0.9685329796296334,0.9699338320787069,0.9640975745124623,0.968088590256702,0.9552381226043273,0.9646400845885102,0.9631403181762135,0.967130068083531,0.9617946279120897
Lockleaze,0.9756045416142467,0.9775114107777969,0.9799572815328998,0.9623555106130711,0.9662042079469263,0.9647931444081591,0.9639775729302573,0.9652322984601267,0.9510683868776362,0.9477654133829135
Hillfields,0.983361482807438,0.9874945725303722,0.9873874500837264,0.9892852721285333,0.9911549115159,0.9917708274423299,0.99151167589755,0.9862500353773478,0.9825756469148896,0.9844176218823708
Henbury and Brentry,0.9515778451289106,0.9707890574610077,0.9745866233728088,0.9690604155423748,0.9551054580836247,0.9545969471803877,0.9480845139168153,0.9525660598201009,0.9569360974749223,0.9686643796574068
Redland,0.3544400836743876,0.5677183859869283,0.6441847265982346,0.7095668353911418,0.7141795495360922,0.8672772530510405,0.8160419997406132,0.8267118420928925,0.8462105554768051,0.8647405216845869
Horfield,0.9508981607010866,0.957075991610952,0.9605976079912696,0.9629652544946352,0.9564609924566878,0.9529582820145909,0.9549916932298679,0.9421557127265276,0.9384618302582656,0.9317881447861274
Knowle,0.8720019225324415,0.8637120387716222,0.8549180631773998,0.8982462373312579,0.8889208781117844,0.8929091041525147,0.8971691104051203,0.8965387598763065,0.9154919796508691,0.913587857232731
Lawrence Hill,0.8674046267302495,0.8990268282326394,0.8957751488123896,0.8773907817917778,0.9039880617645817,0.9033701110428104,0.8981062869721448,0.9002401077137191,0.9197922918030496,0.9118715584109233
Hengrove and Whitchurch Park,0.9390454101539457,0.9772181806297487,0.9756215384034566,0.966113881706343,0.9673956532720421,0.9701457163904625,0.9785619459735185,0.981157457431766,0.973431361510092,0.9733229295570206
Hotwells and Harbourside,0.7341618005759618,0.5425386533213052,0.7149448645825502,0.6496294107548692,0.7787516971769362,0.7398995737882839,0.7426461012662005,0.7322773676204202,0.6886989902926224,0.6894877981428211
St George Central,0.81594418282702,0.9652011819204009,0.9829292694282985,0.9889217362707472,0.9903478836029552,0.9931428798101852,0.9897679914272149,0.9870110814489308,0.9850940541311454,0.9858602182580193
Stockwood,0.9210479665749046,0.9290182704543011,0.9260258368514098,0.9162489097940867,0.9780476054657585,0.9682873610814958,0.9716607819791964,0.9794849411299991,0.9746871710590544,0.9711901365349277
Southmead,0.9011826931900898,0.849799391734753,0.9606021438600507,0.9588783566973881,0.9718026599569826,0.9710031768904483,0.9689634777160818,0.9677092779222805,0.9679693661408497,0.9674321439478425
Stoke Bishop,0.7530410878762424,0.7371670170844973,0.7017976587258694,0.7085351557519202,0.6553787596403233,0.7047437102451193,0.6665045840416057,0.7534111334107858,0.734778013961638,0.7224522053668898
Westbury-on-Trym and Henleaze,0.9553078576468096,0.9528978245933444,0.9511130552747348,0.9544756779628052,0.9487642649176373,0.9510984889619047,0.9243394940007016,0.9452794698150916,0.9373254114219984,0.9378645284738675
Windmill Hill,0.9696970372219164,0.9778981723843625,0.961894282262575,0.968779966121165,0.9608111174324312,0.9654440096478812,0.9584892555661569,0.9662324640140308,0.9641131640279741,0.9638266926651741
Southville,0.7859380053244434,0.7327795424718964,0.8059024694479636,0.8054142041591964,0.8026375360060932,0.7630186308266357,0.7356231197524641,0.8278531841203196,0.8371225804850845,0.8304350959477783
St George Troopers Hill,0.9627837684530378,0.9666365132286242,0.9653304549985434,0.9494486328770034,0.9459482038683413,0.93572498433665,0.9267362479834518,0.9273904863596469,0.9284940771017762,0.9242332222585253
St George West,0.9148567792707659,0.9478694558805765,0.9483874470179184,0.9497146287696079,0.9538862187846855,0.9551824736504994,0.9517992453250135,0.9530312854117337,0.93120918633803,0.9313856839459015
