,,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
time,,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022,Year ending Mar 2023
ward i,ward j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley,Ashley,,,,,,,,,,,,1.0000000000000002,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000004,1.0000000000000002,1.0000000000000007,1.0000000000000002,1.0000000000000004,1.0,1.0000000000000002,1.0000000000000013,1.0000000000000002,1.0000000000000002,0.9999999999999999,1.0000000000000007,0.9999999999999999,1.0,1.0000000000000004,1.0000000000000002,1.0,0.9999999999999996,1.0000000000000002,0.9999999999999999,0.9999999999999997,0.9999999999999976,0.9999999999999979,0.999999999999995,0.9999999999999979,0.9999999999999988,0.9999999999999989,0.9999999999999993,0.9999999999999986,0.9999999999999991,0.9999999999999987,0.999999999999999,0.9999999999999989,0.999999999999999,0.9999999999999992,0.9999999999999994,0.9999999999999991,0.9999999999999993,0.9999999999999993,0.9999999999999986,0.9999999999999986,0.9999999999999983,0.9999999999999983,0.9999999999999984,0.9999999999999991,0.9999999999999991,0.9999999999999989,0.9999999999999988,0.9999999999999983,0.9999999999999987,0.9999999999999993,0.9999999999999991,0.999999999999999,0.9999999999999986,0.999999999999999,0.999999999999999,0.9999999999999989,0.999999999999999,0.999999999999999,0.9999999999999989,0.9999999999999989,0.9999999999999989,0.9999999999999988,0.9999999999999987,0.999999999999999,0.9999999999999987,0.9999999999999978,0.9999999999999976,0.9999999999999978,0.9999999999999984,0.9999999999999984,0.9999999999999981,0.9999999999999992,0.9999999999999994,0.9999999999999992,0.9999999999999992,0.9999999999999993,0.9999999999999994,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999993,0.9999999999999997,0.9999999999999992,0.9999999999999989,0.9999999999999996,0.9999999999999994,0.9999999999999993,0.9999999999999992,0.9999999999999993,0.9999999999999994
Ashley,Bedminster,,,,,,,,,,,,-0.030953210478576146,-0.20468572644762767,-0.40154513971250255,-0.1169363923113071,0.2409284165967881,0.24363062239846894,0.23079346321039218,0.33668227916718757,0.27950840610308825,0.306041828452972,0.2948841503145411,0.35590068617270626,0.39971644627139513,0.25001737715528444,0.19287546342659265,0.49703092038986885,0.17460490266036496,0.26081855895801337,0.31288740302829127,0.34413972279199273,0.35669612109432586,0.3668827593714985,0.35920969421644905,0.37516424634197615,0.3863925219778397,0.5132069207990884,0.5614620785685539,0.26055826894733075,0.5078586980185913,0.06709087550990976,0.24675095389193358,0.34744961889740206,0.49278942161586414,0.486074000161851,0.6084612779342566,0.518097502243476,0.43658790505181416,0.4444670636261698,0.5784612568038124,0.7582480162641634,0.7583224299276982,0.7356348447151468,0.8290668615087594,0.8191820738616722,0.7899380931975813,0.8285691221084863,0.43251665646005427,0.4013417362297643,0.32318043670307306,0.29856889608343057,0.18646384794782947,0.10624872526066427,0.10303931779289424,0.11405556529569119,-0.5908371999609381,-0.43035372517588505,-0.2781912435284755,-0.25901442368965377,0.5311278794952039,0.6338881344051222,0.43757350729302,0.3204236913146736,0.5579436568182844,0.6174094755018608,0.6100195230548958,0.626028704135412,0.5309065445160565,0.5197385604661832,0.5632115150701337,0.5389433112179388,0.6675931157159476,0.5103333461390174,0.5039661697169218,0.45787089435946376,0.6339564777168403,0.4873586398157329,0.4495909694749909,0.42144375385223487,0.27941814662508535,0.28120615169677715,0.24336847311381135,0.22547704327401077,0.00992111155569203,-0.014596566217846463,-0.050455808269530486,-0.030555288296144248,-0.13148662035361003,-0.19841458361282083,-0.09749520236704025,-0.03053334810904364,0.15889876244887907,0.15724134881528845,-0.03773763616129389,0.08990670348100485,0.32183524927175466,0.14459728164573357,0.14433488597360003,0.1369172203007183
Ashley,Avonmouth and Lawrence Weston,,,,,,,,,,,,-0.19117238121123734,-0.3923391603323947,-0.4725257606441554,-0.3715269233825983,-0.47641266353197165,-0.6290316196467534,-0.6201954916559362,-0.6804403579828849,-0.6334548159100617,-0.6444869050902483,-0.6547111502931496,-0.609702172181977,-0.4507249301884301,-0.6417608243437839,-0.5177584322151414,-0.29763941178491704,-0.2582119031252346,-0.16390495725308668,-0.05225859247339847,-0.16121952352074834,-0.2936718595322047,-0.1465083281872959,-0.16829316575778594,-0.11676872681787352,-0.08378882500595419,0.049411313893084986,0.014460850974930451,-0.18425793098115711,-0.18028921267678202,-0.18229276860251928,-0.20524439339597528,-0.158857290454633,-0.049238692235199076,0.005664274304415113,0.16338623241843866,0.17695429481173017,0.07544761832299843,0.015999932009441168,0.13322828641874712,0.47291744503099714,0.4837198175624016,0.4550243843552382,0.6204374110598156,0.5319374939449664,0.5018554184428875,0.5386026966242778,0.3193653071102815,0.3353959622842052,0.3370971083755838,0.3620949730774326,0.3286444724960811,0.2483047590373402,0.22293626726938773,0.24360469688675057,-0.10318491659250074,0.010918770712346705,0.07935433833451874,0.08581239625647936,0.38036568819220856,0.33418418971817365,0.3001144851277479,0.21822540493742607,0.26420266772043366,0.301289716769012,0.2576535834168006,0.3125142445925548,0.31539936940579427,0.32848891159394483,0.5294641974537512,0.5537255374250943,0.4727599153673422,0.5219682485939797,0.3584616164117382,0.44697153465997436,0.5792250161731863,0.5528288436100688,0.4354728588444876,0.4228305924001116,0.19375195924006872,0.19844151008197092,0.16165574290475804,0.14726108045685005,-0.14445743302364292,-0.5688393149971447,-0.5187323455988502,-0.3999740576614925,-0.38807544067233546,-0.4462957569212858,0.03515936280803415,0.25764185550889185,0.4556224762607989,0.40839153296579495,0.44796740857605577,0.34927987820748,0.5869977377941005,0.5918165706870119,0.5847451368356261,0.6561459677431797
Ashley,Bishopsworth,,,,,,,,,,,,0.2178589517270148,0.2063730313913981,0.15425773010084215,0.17841776699839104,0.34516683248608737,0.5278147496186432,0.532501421199721,0.4932095723715825,0.4685378161721086,0.42696902202059145,0.5861417219813243,0.5472394951932531,0.3733107006389369,0.17990762984470146,0.1946864179028148,0.23786317803018067,-0.008133549551737004,-0.06726686092744304,-0.15612655295854116,-0.1273055835466094,-0.07915644600053842,-0.08310488867454315,-0.0629731346129873,-0.06587938162078545,0.09327458030521146,0.19483770661890157,0.11787540800135196,0.28990326225078933,0.3534214752786712,-0.30482888922501067,-0.41215138957570324,-0.24982927164994587,-0.37157670398580234,-0.3736308390057938,-0.3595042020880569,-0.4328976028187752,-0.4002398962425384,-0.20573039793474965,0.02497618703727477,0.3670124736938308,0.40421908673532525,0.4087692418302558,0.6792605632226413,0.7025511205004767,0.7265986524917302,0.8461498739001068,0.5727868238750128,0.5248219002046345,0.5101242343605042,0.5278167212207018,0.3183485425606764,0.18031286627981782,0.16928905370783354,0.1644907844932524,-0.26515076733318305,-0.19834918459030995,-0.09823925804043618,-0.09965670066208633,0.12734295000751503,0.1090375960487505,0.037906250136720256,0.050158341042108916,0.19104969563440202,0.270424481649043,0.17339688257838978,0.01783007587101744,0.003308133873467015,0.06937536192896579,0.2015698492996186,0.20000902653529762,0.5260278992600177,0.49207224879660993,0.41773432814884265,0.4710535781142347,0.5887852509252326,0.5668883649397909,0.6287694314172954,0.6916335235209361,0.5999116469550184,0.6220601464228755,0.5751336253061807,0.554502880634258,0.6903257075333465,0.6192197047537569,0.5876391664989107,0.584622223137596,0.5133439474513392,0.5476331076375434,0.47436085264213496,0.502349522290147,0.39004878754211914,0.4597164897478435,0.4970344525326189,0.584006137266907,0.48117824287439875,0.38448756279424023,0.42427534540452444,0.4270627069252342
Ashley,Bishopston and Ashley Down,,,,,,,,,,,,-0.33310960984324683,-0.3563599537797791,-0.5214570913425968,-0.09604006490049438,0.0814110319196952,0.15933402459891463,0.17510028974271152,0.2844097025922384,0.2423447217501659,0.3459528816217197,0.4913218940126341,0.4735743268790043,0.4933650873713943,0.4479184970186831,0.411663169957646,0.36851827228249634,0.14248175015517547,0.17652170375612775,0.0797315869197805,0.18092921115544897,0.2549899891480879,0.15062762793348808,0.1085992121197109,0.14625745978907273,0.22356847416756043,0.2925643526277415,0.3314272303286743,0.21989176946801398,0.2901367558295882,-0.12821213456237493,0.038575654727693726,0.33338194820111666,0.042000886562133494,-0.028939090530416423,-0.011245739436720342,0.0005621948141338337,-0.027039303503318658,0.22353133738162423,0.36991555270098875,0.6349905959200083,0.5216332321582156,0.5213750581682192,0.42784918023271157,0.35651548480952683,0.34689485254197167,0.33698182025896134,0.09469305972822441,0.07608946098469559,0.062397661023680585,0.07768943812029759,0.06271964779542925,-0.07659329357143574,-0.15790743173940686,-0.15371283047911594,-0.36347276899885134,-0.2729799119740973,-0.21861266540142643,-0.2090155823445764,0.20419666166432687,-0.01670163856409134,0.09741774523857569,0.10584675963502489,0.1731470122092139,0.30182887014152443,0.16984192836719125,0.1553866636506128,0.14129740536328989,0.1606757000855458,0.34263617069304864,0.3458015680967786,0.12255070224147438,0.32467418501974976,0.07545556646446415,-0.06155927210076527,-0.03987074332067517,0.0005278912435904496,0.024954519142968666,0.26674287175397837,0.5313856688831582,0.529332084487976,0.4786573203078163,0.47302408355123843,0.3264182384879045,0.21158206114308703,0.20205743722627217,0.224591126117706,0.28388450193620773,0.30364373180379867,0.43058814229286735,0.49819425375993875,0.46661668757819524,0.47990805009137183,0.4965073923357244,0.4446563106578035,0.6414292789525332,0.6102614002389801,0.625026772633589,0.5612350470471134
Ashley,Brislington East,,,,,,,,,,,,-0.29233157789269293,-0.44923764760018353,-0.3749665600456269,-0.2918034122385159,-0.12728971636843817,0.0359806152755526,0.04126873875164963,0.042166255357479546,0.04235808112962546,-0.08713222883272029,-0.3182497149012395,-0.18468730876177067,0.17290938962724484,0.0018002380720278795,0.008394787935538455,0.37858266825229686,0.10689269385887813,0.14896509922041032,0.021983510494485492,0.06284550287577062,0.16189051298905963,0.2548893339867513,0.279895386528976,0.31258290376421516,0.29495792133984494,0.39096913705253167,0.42681548930775515,0.4425983891850548,0.5104175257382245,0.05749545609107967,0.5458562439988135,0.4569729047288038,0.4762456782008897,0.4135261599399144,0.4090369746525897,0.2015843191896327,0.18919941426755485,0.10537932886813692,0.3337411633062095,0.536729835018096,0.5290323163538632,0.5310369146894207,0.5847185153120086,0.5537053956944347,0.5515014711711943,0.5154665822689789,0.3425523621777374,0.2804253860197995,0.3250499889762073,0.35952784351537903,0.1929418031380236,0.14930966629780196,0.15443556979387038,0.16926356128989223,-0.299440978685174,-0.2841565193156794,-0.33474017379116405,-0.26687496947285616,-0.1836347255535868,-0.05326681621618538,-0.3467368178301388,-0.3660920110745888,-0.05235991593370338,0.04675922498163307,-0.022460062371525216,-0.13073133104100243,-0.1278370143772944,-0.09973388902140322,0.10332080570437208,0.11771252627486072,0.19560050384816552,0.1654249951432706,0.2484477931590037,0.17342655480945876,0.2252457420060881,0.24981193464722562,0.18929004763690627,0.3651531429382213,0.42043703424408685,0.4596798192009,0.4515871315083631,0.39681331379276497,0.25707541832752906,0.050332026439082196,0.0802344699964689,0.08563929455257004,0.12314397828400503,-0.002055963997884628,0.01017500503392226,0.09271958499114002,0.07686971647234567,0.1539119026716479,0.15728853495243722,0.17799348036809415,-0.020582726378549555,-0.004689932559925003,0.015261825793588786,0.03166621654111502
Ashley,Easton,,,,,,,,,,,,0.48173591100163654,0.3719692677865508,0.30419211076855274,0.521093834514277,0.5894518351937938,0.5618559567602142,0.5566521927980368,0.27336295913212577,0.18342176257012363,0.03138922462097145,-0.1433728459321102,-0.14712518205239541,-0.04983472100073843,-0.19309383869548033,-0.15537481855845425,0.10164475899136227,-0.04425929371324127,0.055469759614347434,-0.006510319499649377,0.0902620592921675,0.1287253120885294,0.31375318417333853,0.3480203308534783,0.33689461858336917,0.34723602929548975,0.42820611280632803,0.4531150852684707,0.2399639528998866,0.2921159290046817,0.011620585860441788,0.14092121368657942,0.07578330700902547,0.0381870658564563,0.06010955211190257,0.036338213561614714,-0.08532539756617244,-0.08371669033897183,-0.14834671286750048,0.08489344161174459,0.4894037878034003,0.4887620924226614,0.47539718925675517,0.6378063867500495,0.6438125798653884,0.6519368263991022,0.6503112189441173,0.46718243416076377,0.4184717516194913,0.34898788265931224,0.4104034608268348,0.38978304072590764,0.3264126312286135,0.35034391588034713,0.40373494287102046,-0.21766259086153764,-0.04253301947994207,-0.019807749375332317,-0.03520862386883004,0.10655235278768692,0.05173448752504699,0.10255835414998174,0.007562052716367723,0.19984500914686645,0.3431355045860808,0.15515471210162068,0.18118846124558777,0.1879404666866679,0.22182295677669395,0.4585739150248081,0.47273202500439443,0.4948845027134002,0.41623833125499005,0.10791686612591417,0.063533287714303,0.220288097713876,0.2537185121101373,0.3999170746528694,0.49316994184100016,0.4775957777914395,0.4783595995340498,0.45478256872665784,0.4023213460262643,0.05847242339857468,-0.06692460307838352,-0.075318842690244,-0.06541111364529968,-0.04903867191523663,-0.042123895109311006,-0.002560801202139985,0.21455342478254058,0.2913798502755529,0.28328869028599735,0.12372458241057127,-0.04799967166564267,0.2489617019865017,0.27844102822678746,0.28520537728987094,0.2286829936086246
Ashley,Clifton,,,,,,,,,,,,-0.45119305480240596,-0.42965142427154773,-0.5188674202433377,-0.05854230566865482,0.1969470350515163,0.2926153328316922,0.27900830248523145,0.4789133466683325,0.46708182638788026,0.3934657832167551,0.5067773331114547,0.6164856284775453,0.6941402723137932,0.6477888459103928,0.603300476789176,0.28059354219739746,0.28441770991400067,0.18635626652399637,0.02940437887641686,0.05005406467273037,0.1345536608160092,0.3151552869597516,0.3277254217301974,0.2555115042223071,0.28143904493861127,0.07337325832344174,0.09923689601357219,0.017447735809661257,0.010563839677720762,-0.205332553388627,0.08809361933069251,-0.008786460181209732,-0.0325274030277541,0.005622487644038896,0.004564432316206476,-0.11784047586368397,-0.1120653385043769,-0.12402901964068017,-0.0897750453332029,0.08221192936286668,0.19352263086374674,0.207031040114091,0.1676735014245456,0.1759594572544549,0.16576678400872327,-0.01996537773832992,-0.21477657509688405,-0.3341497465643946,-0.08902007778616745,0.011305708518769372,-0.1702312035016642,-0.18384230944257854,-0.21137615343149116,-0.20795490684614432,-0.3119649610841524,-0.3401618692468041,-0.2621145912095259,-0.2836796614548698,-0.21580266712381824,-0.19402428834894858,-0.10637152352099835,0.028990834895374105,0.31063596261436405,0.4463048762740623,0.3566740222131858,0.44909628611888597,0.4564308044588932,0.5446212319061678,0.5257756022646112,0.49782499129393504,0.49818914222291144,0.5977357507205356,0.4485130369043168,0.19026857857097376,0.2952966695769695,0.27764375498445254,0.21023328113277853,0.25991856466770497,0.5510132927020298,0.5906082738631687,0.6015395507723592,0.4795404773767641,0.4000840823816209,0.3255169768776636,0.342618420111032,0.457389952098038,0.46666345219772154,0.46583778300599454,0.5669412864073065,0.5287517817751334,0.46320762480866545,0.4985897978492836,0.44577823321710935,0.38150002318796794,0.44431418618320734,0.45071998384024053,0.4248542434239397,0.42105526178129327
