Unnamed: 0,Ashley,Bedminster,Avonmouth and Lawrence Weston,Bishopsworth,Bishopston and Ashley Down,Brislington East,Easton,Clifton,Frome Vale,Filwood,Cotham,Clifton Down,Brislington West,Eastville,Central,Hartcliffe and Withywood,Lockleaze,Hillfields,Henbury and Brentry,Redland,Horfield,Knowle,Lawrence Hill,Hengrove and Whitchurch Park,Hotwells and Harbourside,St George Central,Stockwood,Southmead,Stoke Bishop,Westbury-on-Trym and Henleaze,Windmill Hill,Southville,St George Troopers Hill,St George West
Ashley,(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),"(9, 10, 11, 12)",(),(),(),(),(),(),(),(),(),(),(),()
Bedminster,(),(),(),(),"(2, 3, 4, 5, 6)","(1,)",(),(),"(1, 2, 3, 4)",(),(),(),"(1, 2, 3, 4)",(),(),(),(),"(1, 2, 3, 4, 5, 6, 7)",(),(),(),(),(),(),(),(),"(1, 2)",(),(),(),(),(),(),"(1, 4)"
Avonmouth and Lawrence Weston,(),(),(),(),(),"(2, 3)",(),(),(),(),(),(),(),"(1, 4)",(),(),(),"(1,)",(),(),(),(),(),(),(),(),(),(),(),(),(),(),"(4,)","(4, 12, 13, 14)"
Bishopsworth,(),(),(),(),(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)","(3,)",(),(),(),(),(),(),(),"(1, 2, 3, 4, 5)",(),(),"(11, 12, 15, 16, 17)",(),(),(),(),"(1, 2, 3, 4)","(2, 3)",(),(),(),(),(),(),()
Bishopston and Ashley Down,(),"(1,)",(),(),(),(),(),(),"(1,)",(),(),(),(),(),(),(),(),(),(),(),(),"(1, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30)",(),(),(),(),"(2,)",(),(),(),"(1, 2, 3)",(),(),()
Brislington East,(),"(1, 2, 3)",(),"(17, 19, 20, 21, 22, 24)",(),(),"(3, 4)",(),"(1, 2, 3, 4, 5, 6, 7, 9, 10)",(),(),(),"(2, 3, 4, 5, 6, 10)",(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21)",(),(),(),(),(),(),(),(),"(1,)",(),(),(),"(1, 2, 3)",(),(),()
Easton,(),"(1, 2, 3, 4, 5, 6, 7, 8)",(),(),(),(),(),(),(),(),(),(),"(1,)",(),(),(),(),(),(),(),(),"(1,)",(),(),(),"(1,)",(),(),(),(),"(1,)",(),(),"(1, 2, 3, 4)"
Clifton,(),"(1, 3)","(1,)",(),(),"(1,)","(1, 2)",(),"(1,)",(),(),(),"(1,)",(),(),(),(),"(1,)",(),"(1, 2, 3, 4, 5)",(),(),(),(),"(3,)",(),(),(),(),(),"(1,)",(),(),()
Frome Vale,(),(),"(1, 2, 3, 4, 5, 6, 7)","(6, 7, 8, 9, 10, 11, 12)","(1,)","(1,)","(1,)",(),(),(),(),"(1, 5, 6, 7, 12, 13, 14)","(1,)",(),(),(),(),"(1,)",(),(),(),(),(),(),(),"(1,)",(),(),(),(),(),(),(),"(1, 5)"
Filwood,"(4, 5)","(2, 3, 5)",(),"(4,)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)",(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 17)","(4, 5)",(),"(2,)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","(3,)",(),(),(),(),(),"(1,)","(1, 2, 3, 4, 5, 6, 7, 8)","(1,)",(),(),(),"(1, 2, 3)",(),(),"(4, 5)"
Cotham,(),"(4, 5, 6)",(),"(5, 6)",(),(),"(3, 4, 5, 6)",(),(),(),(),(),"(1, 11, 29, 30)",(),(),(),(),"(1, 2, 3, 4, 6)",(),(),(),(),(),(),(),"(1, 2, 3)",(),(),(),(),(),"(4,)",(),()
Clifton Down,"(32, 33)",(),(),(),(),(),(),(),"(1,)",(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),"(1,)",(),(),(),"(1, 2)",(),(),"(1,)"
Brislington West,(),(),(),(),"(1, 2, 3)",(),"(1, 2, 3, 4)",(),"(1,)",(),(),"(2,)",(),(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 15, 16, 17)",(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 13)"
Eastville,(),"(1,)",(),(),(),"(1,)",(),(),(),"(3, 4, 6)",(),(),(),(),(),(),(),"(1,)",(),(),(),(),(),"(1,)",(),(),(),(),(),(),(),(),(),()
Central,(),(),(),(),(),(),(),(),"(1,)",(),(),(),(),(),(),(),(),(),(),(),"(2,)",(),(),(),(),(),(),(),(),(),(),(),(),()
Hartcliffe and Withywood,(),(),(),(),(),(),"(1, 2, 3, 4, 5)",(),"(1, 2, 3, 4, 5)",(),(),(),"(1, 2, 3, 4, 5)","(1, 2, 3, 4, 5, 6)",(),(),(),"(1,)",(),(),(),(),(),(),(),"(1, 3)","(2, 3)",(),(),(),(),(),"(1, 2, 3)","(1, 3, 4, 5)"
Lockleaze,(),"(3, 4, 5, 6, 7)","(1, 2)",(),"(2, 3, 4, 5, 6, 7)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",(),(),"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)",(),"(4, 6, 7, 8, 9, 10, 11, 12, 13, 14)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",(),(),"(1,)",(),"(22, 23)","(4, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18)","(2,)",(),(),(),(),(),"(3, 4, 5, 6, 7)","(3, 4, 5, 6, 7, 8, 9, 11, 13, 15)"
Hillfields,"(33,)",(),(),(),(),"(1, 2, 3)",(),(),(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)",(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),()
Henbury and Brentry,(),(),"(1, 2)",(),"(1,)",(),(),(),"(1, 2)",(),(),(),"(2, 3, 4)","(8,)",(),"(4, 5, 6, 7)","(1,)","(1, 2, 3, 5)",(),(),(),"(9, 10, 11)",(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 21)",(),(),(),(),(),(),(),()
Redland,(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),"(34,)","(4,)",(),(),(),(),(),(),(),(),(),(),()
Horfield,(),"(9,)","(30,)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 14)",(),(),(),(),(),(),"(2, 3, 4, 5, 6, 7)","(1,)",(),(),(),(),"(1,)",(),(),(),(),(),(),(),(),"(1, 2, 3, 4, 5, 6)",(),(),(),"(1, 2, 3, 4, 5)","(2,)",(),"(2, 4)"
Knowle,(),(),(),(),"(1,)",(),(),"(12, 13, 14)",(),(),(),(),(),(),(),"(16,)",(),"(1,)",(),(),(),(),(),(),(),"(4, 5)",(),(),(),(),(),(),(),()
Lawrence Hill,"(1, 6, 10, 25, 26)","(1, 2, 3, 4)",(),(),(),(),(),(),"(1, 6)",(),(),(),"(2,)",(),(),(),(),"(1, 2, 3)",(),(),(),(),(),"(1,)",(),"(1, 2, 3, 4)","(2, 3, 4)",(),(),(),"(1,)",(),(),()
Hengrove and Whitchurch Park,"(1, 7, 8, 9)",(),(),(),(),"(1, 2, 4)","(1, 2, 3, 4, 5, 6, 7, 8, 19)",(),(),(),(),(),"(2,)",(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12)",(),(),(),"(9,)",(),(),(),"(1, 6, 7, 8)","(2, 3)",(),(),(),(),(),(),"(12, 13, 14)"
Hotwells and Harbourside,(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),"(3,)",(),(),(),(),(),(),(),(),(),(),(),"(2, 3, 4)",(),(),(),(),(),()
St George Central,(),(),(),(),"(1, 2, 3, 4)","(1,)","(1, 2, 4)",(),"(1,)",(),(),(),"(1, 2)","(1,)",(),"(1,)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9)",(),(),(),(),(),(),(),(),"(1, 2, 3)",(),(),(),"(1,)",(),(),"(4, 5)"
Stockwood,"(1, 4, 5, 11, 12, 13, 14, 16)","(1,)",(),(),(),(),(),(),"(1, 2)",(),(),(),(),(),(),(),(),"(13,)",(),(),(),(),(),(),(),(),(),(),(),(),"(1,)",(),(),()
Southmead,"(8,)",(),(),(),(),(),"(8, 9)",(),(),(),(),(),(),"(1, 2)","(1, 2, 3, 4, 7, 11)",(),(),"(1, 7, 8, 9, 10, 11, 12, 17)","(4, 5, 6, 7, 8, 21, 22)",(),"(3,)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 17, 18, 19)",(),"(1, 2, 3, 6, 7, 8, 9, 10)",(),(),(),(),"(6, 7, 8, 9, 10, 11)",(),(),"(1,)"
Stoke Bishop,(),(),(),(),"(11, 12, 13, 15, 18)",(),(),(),(),(),"(18, 19, 20, 21, 22)",(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),()
