Unnamed: 0,Ashley,Bedminster,Avonmouth and Lawrence Weston,Bishopsworth,Bishopston and Ashley Down,Brislington East,Easton,Clifton,Frome Vale,Filwood,Cotham,Clifton Down,Brislington West,Eastville,Central,Hartcliffe and Withywood,Lockleaze,Hillfields,Henbury and Brentry,Redland,Horfield,Knowle,Lawrence Hill,Hengrove and Whitchurch Park,Hotwells and Harbourside,St George Central,Stockwood,Southmead,Stoke Bishop,Westbury-on-Trym and Henleaze,Windmill Hill,Southville,St George Troopers Hill,St George West
Hillfields,"(33,)",(),(),(),(),"(1, 2, 3, 4, 6)","(1,)",(),(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 21, 23, 24, 25)","(1,)",(),(),(),(),(),"(1, 2)","(1,)","(8, 9)","(1,)",(),(),"(1,)","(1,)",(),(),(),(),"(1,)",(),"(1, 4, 5)"
Henbury and Brentry,"(4,)","(1, 2, 4)","(1, 2, 3, 4, 5)","(4,)","(1, 2, 3, 4)",(),"(1, 2, 4)",(),"(1, 2, 3, 4, 5)",(),(),(),"(1, 2, 3, 4, 5, 6)","(8, 9)",(),"(3, 4, 5, 6, 7, 8)","(1, 2)","(1, 2, 3, 4, 5, 6, 7, 8)",(),"(2,)",(),"(8, 9, 10, 11, 12, 13, 24)",(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22)",(),(),(),(),(),(),"(8,)","(5,)"
Redland,(),(),(),"(6,)","(1,)",(),(),(),(),(),(),"(4, 7, 8, 9, 11, 13, 14)","(1, 2)",(),(),(),(),(),(),(),(),"(33, 34, 35)","(1, 4, 5, 6, 7, 8, 9, 10)",(),(),(),"(1,)",(),(),"(1, 2)","(10, 11)","(15, 17)",(),()
Horfield,"(7, 8, 9)","(1, 8, 9, 10, 11, 12, 13, 16, 18, 19)","(30, 31)","(1,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)","(3,)",(),(),"(1,)",(),(),"(2, 3, 4, 5, 6, 7, 8, 9)","(1, 2, 29, 30)",(),(),(),(),"(1, 2, 4, 5, 6)",(),(),(),(),(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8)","(27,)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8)","(2, 3, 4)","(7,)","(2, 3, 4, 5)"
Knowle,(),(),(),(),"(1, 2, 3, 7, 13)",(),(),"(1, 2, 7, 12, 13, 14, 15, 16, 19, 20, 21)","(1,)",(),(),(),(),(),"(1,)","(13, 14, 15, 16, 17)",(),"(1, 2, 4)",(),(),(),(),(),(),(),"(1, 2, 4, 5)",(),"(21,)",(),"(18,)","(1, 4)",(),(),()
Lawrence Hill,"(1, 3, 6, 7, 8, 9, 10, 11, 12, 14, 15, 17, 18, 23, 24, 25, 26, 27, 28)","(1, 2, 3, 4, 5, 6, 7)",(),(),"(11, 12)","(1,)","(1,)",(),"(1, 2, 6, 7, 8, 9, 10, 11, 12)","(35,)",(),"(2,)","(1, 2, 3, 4)",(),(),(),(),"(1, 2, 3, 4, 5, 32)",(),(),(),(),(),"(1, 2)","(1, 2)","(1, 2, 3, 4, 5, 6)","(2, 3, 4, 5, 6)",(),(),"(1,)","(1, 2, 3)",(),(),()
Hengrove and Whitchurch Park,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",(),(),"(1,)","(1, 2)","(1, 2, 3, 4, 5, 6)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 19, 20)","(1,)","(1,)",(),(),(),"(1, 2, 3, 4, 5, 6)","(1, 2)",(),"(1,)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)",(),(),(),"(8, 9, 10, 11, 12, 13, 14, 15)","(11,)",(),(),"(1, 2, 5, 6, 7, 8, 9, 11, 12)","(1, 2, 3, 4, 5, 6, 7, 21)",(),(),"(1,)","(2,)",(),"(2,)","(5, 7, 11, 12, 13, 14, 15)"
Hotwells and Harbourside,(),(),(),(),(),(),(),(),"(1,)",(),(),(),(),(),(),"(3, 4)",(),"(1, 3, 4)",(),(),(),(),(),(),(),(),"(2, 4, 6, 11, 13, 14, 15)","(2, 3, 4, 5, 6, 7, 8, 9)",(),(),(),(),(),()
St George Central,(),(),"(1,)",(),"(1, 2, 3, 4, 5, 6, 7)","(1, 2, 3, 4)","(1, 2, 4, 5, 6)",(),"(1, 2)","(1,)",(),(),"(1, 2, 3, 4, 5, 6)","(1, 2)",(),"(1,)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",(),(),"(1, 2)",(),(),(),(),(),"(1, 2, 3, 4, 5, 6, 7)",(),(),(),"(1, 2)",(),(),"(1, 4, 5, 6)"
Stockwood,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21)","(1,)",(),(),(),"(18, 19, 22, 26)",(),(),"(1, 2, 3, 4, 7, 8, 9, 12, 13, 14)",(),(),(),(),"(12, 27)","(22, 24)",(),(),"(1, 12, 13, 14, 15, 16, 28)",(),(),(),(),(),(),(),(),(),(),(),(),"(1, 2)",(),(),()
Southmead,"(7, 8, 9, 10, 11)","(1, 6, 7, 8, 9)",(),"(14,)","(5, 8, 9)","(1, 5)","(4, 5, 7, 8, 9, 10, 11, 12, 34)",(),(),(),(),"(30,)","(8, 9)","(1, 2, 3, 4, 5, 6)","(1, 2, 3, 4, 5, 6, 7, 11, 12, 13, 14, 15, 16)","(7, 8, 9, 24, 25, 26, 27, 28, 29)",(),"(1, 2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21)","(4, 5, 6, 7, 8, 9, 10, 19, 21, 22, 23, 24, 25)",(),"(1, 2, 3, 4, 5, 6, 8)","(9, 10, 11)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",(),(),(),(),"(1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",(),(),"(1, 2, 5, 6, 7)"
Stoke Bishop,(),(),(),(),"(11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",(),(),(),(),(),"(18, 19, 20, 21, 22, 23, 24)",(),(),(),(),(),(),(),(),(),"(17,)",(),(),(),(),(),(),(),(),(),(),"(6, 7)",(),"(11, 12, 13, 14, 15)"
Westbury-on-Trym and Henleaze,(),"(1, 3)",(),"(1, 4)","(1, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 30)","(1, 2, 3, 4, 13, 14, 15, 16)",(),(),"(4,)",(),(),(),(),(),(),(),(),"(1, 2, 3, 4)","(30, 31)",(),(),(),(),(),(),(),"(1, 2, 3)",(),(),(),"(1,)",(),(),()
Windmill Hill,(),(),(),(),(),"(4, 5, 6, 7, 8, 9, 10)",(),(),"(1, 2)",(),(),(),(),(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 19, 20, 21)",(),(),(),"(21, 22, 23, 24)",(),(),(),(),"(1, 2)",(),(),(),(),(),(),()
Southville,(),(),(),(),(),(),(),(),"(1, 4, 5, 6, 7, 9)",(),(),"(2,)","(29, 30)",(),(),(),"(27,)",(),(),(),(),(),"(33,)",(),(),(),"(1, 2, 3, 4, 5, 6, 7, 9)",(),(),(),(),(),(),"(3,)"
St George Troopers Hill,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)",(),"(1, 13, 14, 16)","(1, 2, 4)","(4,)","(18, 21)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",(),"(34,)",(),(),"(5, 6, 7, 8, 9, 10)",(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",(),(),(),(),(),(),(),"(4, 5, 6, 10, 11, 13, 14, 15, 16)",(),(),(),(),"(1, 6, 7, 8)","(1, 2, 3)",(),()
St George West,"(1,)",(),(),"(5,)",(),"(3, 4, 5, 6)",(),(),"(3,)","(1, 2, 3)",(),"(1, 2, 10, 13, 14, 15, 17, 22)","(2, 3, 4, 8)","(1,)",(),(),(),"(1, 3, 4)",(),(),(),"(11, 13)","(2, 3, 4, 6, 7, 8)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","(2, 3, 5)",(),(),(),(),(),(),()
