Unnamed: 0,Ashley,Bedminster,Avonmouth and Lawrence Weston,Bishopsworth,Bishopston and Ashley Down,Brislington East,Easton,Clifton,Frome Vale,Filwood,Cotham,Clifton Down,Brislington West,Eastville,Central,Hartcliffe and Withywood,Lockleaze,Hillfields,Henbury and Brentry,Redland,Horfield,Knowle,Lawrence Hill,Hengrove and Whitchurch Park,Hotwells and Harbourside,St George Central,Stockwood,Southmead,Stoke Bishop,Westbury-on-Trym and Henleaze,Windmill Hill,Southville,St George Troopers Hill,St George West
Ashley,(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),"(8, 9, 10, 11, 12, 13, 14, 16)","(3,)",(),(),(),"(4, 5)",(),(),(),(),(),(),()
Bedminster,(),(),"(18, 19, 20, 21)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18)","(1,)","(1,)",(),"(1, 2, 3, 4, 5, 6, 7, 9, 10, 11)",(),(),"(2,)","(1, 2, 3, 4, 5, 6)","(1,)",(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 19, 20)",(),"(1,)",(),"(6, 9, 10, 11, 12, 13, 14, 15)",(),"(1,)",(),"(1,)","(1, 2, 3, 4)",(),(),(),"(1,)",(),"(1,)","(1, 2, 4, 5, 6)"
Avonmouth and Lawrence Weston,(),"(3, 4)",(),(),(),"(2, 3, 4, 5, 8)","(4,)",(),"(3, 4)","(11,)",(),(),(),"(1, 2, 3, 4, 5, 6)",(),(),(),"(1, 2, 3, 4, 16, 17, 18, 19, 21)",(),(),(),(),(),(),(),"(1, 4)",(),(),(),(),(),(),"(2, 3, 4, 5, 6, 7, 8)","(4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16)"
Bishopsworth,(),"(1,)","(1, 2)",(),"(1, 2)","(8, 9)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","(2, 3, 4, 9, 12, 13, 15)",(),(),(),"(2, 6, 7, 8, 9)",(),(),(),"(1, 2, 3, 4, 5, 6, 7, 10, 11, 12)",(),(),"(10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 27)","(6, 8)",(),(),"(1, 3, 13)","(1, 2, 3, 4, 5, 10)","(1, 2, 3, 4, 5)",(),(),"(11,)",(),(),(),"(1,)"
Bishopston and Ashley Down,(),"(1, 2, 3, 6)",(),(),(),(),(),(),"(1,)",(),(),"(6,)",(),(),(),(),(),"(1,)",(),(),(),"(1, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32)",(),(),(),(),"(2, 3)",(),(),(),"(1, 2, 3, 4, 5)","(11,)",(),"(1,)"
Brislington East,(),"(1, 2, 3, 4, 5)",(),"(12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29)",(),(),"(3, 4, 5)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)",(),(),(),"(2, 3, 4, 5, 6, 7, 8, 10, 11, 12)",(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",(),(),(),(),(),(),(),"(1,)","(1, 2)",(),(),(),"(1, 2, 3, 4)",(),(),"(12, 13, 14)"
Easton,(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)","(31,)",(),"(1,)","(1,)",(),(),(),(),(),"(3, 4, 5, 6)","(1, 2)",(),(),(),(),"(1,)",(),(),"(1,)","(1,)","(1,)",(),(),"(1,)",(),(),(),(),"(1, 4)",(),(),"(1, 2, 3, 4, 5, 6, 7)"
Clifton,(),"(1, 2, 3, 4, 7, 15, 16, 17, 18, 23)","(1, 2)",(),(),"(1, 2, 10, 11, 16, 19, 20)","(1, 2, 3, 4)",(),"(1, 2, 3, 4)",(),(),"(2, 3, 4, 5, 6, 7, 8, 10)","(1, 2)",(),"(31, 33)","(1,)",(),"(1, 2, 3)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","(2, 3, 34)",(),"(32,)",(),"(2, 3, 4, 5, 8, 14, 22)",(),(),"(2, 4, 5, 7, 8, 9, 24)",(),(),"(1, 2, 3)","(1,)",(),()
Frome Vale,(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12)","(1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)","(1, 2)","(1,)","(1, 12)",(),(),(),(),"(1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16)","(1,)","(1,)","(6,)","(1,)",(),"(1,)",(),(),"(1,)",(),(),"(1,)",(),"(1,)",(),(),(),(),(),(),(),"(1, 2, 4, 5, 6, 7, 9, 10, 11)"
Filwood,"(4, 5, 6, 14, 15)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 34)",(),"(1, 2, 3, 4, 5, 6, 7)","(1, 2, 4, 5)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 23, 27)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",(),(),"(4,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)","(4, 5, 6)",(),"(1, 2, 6)","(1, 2, 4)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)","(1, 3, 4, 5, 9, 23)","(35,)",(),(),"(1, 2, 3)","(1, 3, 4)","(1, 2, 3)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","(1, 2)",(),(),(),"(1, 2, 3)","(1,)",(),"(4, 5, 6, 7)"
Cotham,"(6,)","(1, 2, 4, 5, 6)",(),"(5, 6, 7, 8)","(5, 6)","(1,)","(3, 4, 5, 6)",(),"(1,)",(),(),"(6,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 27, 29, 30, 31)",(),(),"(1, 2, 3)","(11, 12)","(1, 2, 3, 4, 5, 6)",(),"(3, 4, 5, 6, 7, 8, 9, 11, 12)",(),(),(),(),"(1, 2, 3)","(1, 2, 3, 4, 5, 6)",(),(),(),(),"(10,)","(4, 5, 6)",(),()
Clifton Down,"(32, 33, 34)","(1,)",(),(),(),(),(),(),"(1, 2)","(1,)",(),(),"(1,)","(1,)",(),(),(),"(1,)",(),(),(),"(1,)",(),(),(),(),"(1,)",(),(),(),"(1, 2, 3)",(),(),"(1, 3)"
Brislington West,(),(),(),(),"(1, 2, 3, 4, 5)",(),"(1, 2, 3, 4, 5, 6, 7, 8)",(),"(1, 2, 4)",(),(),"(2, 3, 4)",(),(),"(7, 8)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 24)",(),(),(),(),(),"(1,)",(),(),(),(),(),(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17)"
Eastville,(),"(1, 4, 9)",(),"(14,)",(),"(1, 2, 3, 4)",(),(),(),"(1, 3, 4, 5, 6, 7, 8, 9)","(4, 5)",(),(),(),(),(),(),"(1, 4, 5)",(),(),"(15, 18)",(),(),"(1, 2, 3, 4, 5)",(),(),(),(),(),(),(),(),(),"(1,)"
Central,(),(),(),(),"(1,)",(),"(1,)",(),"(1,)",(),(),(),(),"(1,)",(),(),(),"(1, 14)","(1,)","(1,)","(2, 3)",(),(),(),"(6, 7, 8)",(),(),(),(),(),"(34,)",(),"(33,)",()
Hartcliffe and Withywood,(),(),"(1, 2, 27)",(),"(1, 2, 3)","(1, 3, 4)","(1, 2, 3, 4, 5, 6)",(),"(1, 2, 3, 4, 5, 6)",(),(),(),"(1, 2, 3, 4, 5, 6, 9)","(1, 2, 3, 4, 5, 6, 7)",(),(),"(1,)","(1, 2, 3, 6)",(),(),(),"(6,)","(11, 12, 13, 14)",(),"(1,)","(1, 2, 3, 4, 5, 7, 8, 9)","(1, 2, 3, 4, 5, 6, 7, 8)",(),(),"(1, 32)",(),(),"(1, 2, 3, 4, 12, 13, 14)","(1, 2, 3, 4, 5, 6, 7)"
Lockleaze,(),"(3, 4, 5, 6, 7, 8, 9, 10, 11)","(1, 2, 3, 33)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 18)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",(),"(1, 13, 17)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",(),"(1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",(),(),"(1, 2, 3)",(),"(3, 11, 12, 15, 18, 19, 20, 22, 23, 24, 25)","(4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)","(1, 2, 3, 4, 5, 6, 7, 8)",(),(),(),"(2, 3, 4, 5, 6)",(),"(3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 19, 20)","(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)"
