Unnamed: 0,Ashley,Bedminster,Avonmouth and Lawrence Weston,Bishopsworth,Bishopston and Ashley Down,Brislington East,Easton,Clifton,Frome Vale,Filwood,Cotham,Clifton Down,Brislington West,Eastville,Central,Hartcliffe and Withywood,Lockleaze,Hillfields,Henbury and Brentry,Redland,Horfield,Knowle,Lawrence Hill,Hengrove and Whitchurch Park,Hotwells and Harbourside,St George Central,Stockwood,Southmead,Stoke Bishop,Westbury-on-Trym and Henleaze,Windmill Hill,Southville,St George Troopers Hill,St George West
Ashley,(),"(4, 5, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26)","(1, 32, 34)","(1, 2, 4, 6)","(9, 10, 11)","(1, 4)","(1, 2, 4, 5, 6, 7, 8, 11, 12, 13, 14)","(10, 11, 12, 20, 21)",(),"(1, 2, 4, 25, 26)","(3, 4, 5, 13, 14)","(1, 2)",(),(),(),(),(),"(1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14)","(5, 6, 7, 8)","(9,)","(1, 8, 9, 10, 11, 12, 13)","(1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 35)","(1, 2, 3, 4, 5, 6)",(),"(1, 2, 3, 4, 18, 20, 22, 23, 24, 35)","(4, 34, 35)","(1, 2, 3, 4, 5, 6, 7, 8, 9)","(10,)",(),(),"(4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 23)",(),(),"(4, 5)"
Bedminster,"(14, 15, 35)",(),"(15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30)","(5, 6)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","(1, 2, 3, 4, 5, 6, 8, 10, 12, 13, 14, 15, 16, 18)","(1, 2, 3, 4, 10)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19)","(1,)",(),"(2, 3, 4, 5, 6, 7, 14, 15, 16, 17, 18, 19, 20, 21)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","(1, 2, 3, 4, 5, 6)","(13,)","(1,)","(1, 2, 3, 4, 6, 7, 8, 9)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22)","(1, 5, 6)","(1, 2, 3)",(),"(1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26)",(),"(1, 2, 6)",(),"(1, 2, 4, 5, 6, 7)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 14, 15, 16, 17, 18, 19)","(1,)",(),"(1, 3, 4, 5)","(1, 2, 5)","(2, 3, 11)","(1, 2, 3, 18)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 24)"
Avonmouth and Lawrence Weston,"(5, 7, 8, 9, 10)","(3, 4, 5, 6, 7, 8)",(),"(3, 4, 5, 6, 9, 18, 20, 29, 30, 31, 32)","(2, 3, 4)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 29, 30)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 21, 22, 23, 24, 25)","(1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 20, 21, 22, 24)",(),"(4, 11, 12, 13, 14)","(2, 3, 4, 5)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17)","(14, 15, 16)","(4, 8, 13)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","(8,)",(),"(2, 3, 4, 5)","(9, 13, 14, 15)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16)","(3, 4, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14)","(1, 2, 3, 4, 5, 6, 7, 8, 9)",(),"(1, 2, 3, 22)",(),"(3, 4, 5, 7, 8, 9, 14, 16, 35)","(18, 23, 24, 26, 28, 30, 31)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 17, 20)","(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26)"
Bishopsworth,(),"(1, 2, 3, 4)","(1, 2, 3, 4, 5, 6, 7)",(),"(1, 2, 3, 4, 5, 11, 12, 13, 19, 20, 31, 32)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32)","(2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 20, 21, 32, 33, 34, 35)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23)","(1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)","(19,)","(2, 3, 5, 8, 14, 15, 31)","(9, 10, 11, 12)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)","(3, 9, 10, 11, 12, 13, 14, 15)","(13,)","(1,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 30, 31, 32)","(2, 34)","(1, 11, 12)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30)","(1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)",(),"(1,)","(1, 2, 3, 4, 5, 6, 13, 14, 15, 16, 17, 18, 19, 20, 23, 24, 35)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)","(1, 2, 3, 4, 5, 6, 7, 8, 9)",(),"(2, 3)","(1, 2, 3, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)","(1, 2, 3, 4, 5, 26)","(34,)",(),"(1, 2, 3, 4, 5)"
Bishopston and Ashley Down,"(1, 3)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 18, 19, 35)","(1,)","(1, 23, 24, 25, 26, 27, 28, 29)",(),"(1, 10, 11, 12, 13, 27, 28)","(1,)",(),"(1, 2, 3, 4)","(27, 30, 32)",(),"(5, 6, 7, 8, 9, 10, 11, 12, 13)","(1,)","(1, 2)",(),"(23, 24, 28, 29)",(),"(1, 2)",(),"(1,)","(1,)","(1, 2, 3, 4, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35)","(7,)",(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8)",(),"(1, 8)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 23, 24, 25, 29)","(1, 2, 3, 11, 12, 13, 14, 15, 16, 17, 18)",(),"(1, 2, 3, 6)"
Brislington East,"(4, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 24)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 21, 22, 23, 25, 26, 27)","(3,)","(1, 3, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 35)","(1, 3, 4)",(),"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27)","(32, 34)",(),"(3, 21, 22)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(1, 3, 4, 7, 8, 10, 11)","(20, 21, 22, 24, 25, 26, 27)","(1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 20, 26, 28)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27)","(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 23)",(),"(1, 25, 26)","(6, 7, 9, 10, 11, 12)",(),"(1, 3, 4)","(35,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 23, 24, 25, 31)","(1, 2, 3, 4, 5)",(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 10, 17, 18, 19, 20, 21, 26, 27, 33)","(3, 4, 16)","(2, 3)","(1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)"
Easton,"(1, 3, 12, 13, 14)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26)","(1, 22, 23, 25, 31, 32, 33, 35)","(35,)","(1, 2, 3, 4, 5, 6, 7, 8, 9)","(1, 2)",(),(),"(1, 13)","(1, 32, 35)",(),"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 19, 21)","(1, 2, 3, 4)","(1,)","(4, 5, 6, 7, 22, 23, 24, 25)",(),(),"(1, 2)","(33,)","(1, 2)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 22)","(1, 6, 7)","(1,)","(32, 33)","(1, 2, 3, 4)","(1, 2, 3, 4)",(),(),"(1, 9)","(1, 2, 3, 4, 5, 6, 7)","(11, 12, 13)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 21)"
Clifton,(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28)","(1, 2, 3, 4, 5, 28, 30, 33)","(1, 35)","(1, 7)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",(),"(1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 16, 17, 19, 20, 21, 23, 24, 25, 26)",(),"(1, 10)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19)","(1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13)","(1,)","(3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 31, 32, 33, 34)","(1, 19, 20, 21, 22, 23, 24)","(1, 33, 34)","(1, 2, 3, 4, 5, 6, 7, 8, 10, 20, 21, 22)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 19, 21)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 34)","(1,)","(1, 23, 30, 31, 32, 33)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 29)","(1, 2, 3, 21)","(13, 16, 34)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8)","(1, 2, 3, 4, 5, 10, 11)",(),"(1, 4, 5, 6, 9, 10)"
Frome Vale,"(5,)","(1, 7, 24, 25, 26, 27)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 35)","(1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26)","(1, 2, 3, 4, 5, 6, 7, 9, 10, 28, 29)","(1,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","(1, 2, 9, 10, 11, 13)","(1, 2)","(6, 7, 8, 9)","(1, 2, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22)","(14, 22)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 18, 19, 20, 29, 30, 31)","(1,)","(1,)","(1, 2, 12, 16, 17, 18, 19, 21, 23)","(1, 5, 6)","(1,)","(1, 2, 10, 21, 22, 23)","(1,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","(1,)",(),(),"(1,)","(1,)",(),"(1,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 24, 25, 26)"
Filwood,"(4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 27)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 26, 34)","(1, 2, 3, 4, 5, 6)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 22, 23, 25)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25)","(1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 27)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 20, 21, 22, 23, 24, 25, 35)","(1, 2, 35)","(1, 2)","(1, 2, 6, 7, 8, 9, 10)","(1, 2, 3, 4, 5, 18, 19)","(1, 2, 3, 4, 5, 6)","(1, 2, 3, 4, 5, 6, 7, 8, 9)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 34)","(1, 2, 3, 4, 5, 6)","(1, 2)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)","(3, 4, 5)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 34)"
