Unnamed: 0,Ashley,Bedminster,Avonmouth and Lawrence Weston,Bishopsworth,Bishopston and Ashley Down,Brislington East,Easton,Clifton,Frome Vale,Filwood,Cotham,Clifton Down,Brislington West,Eastville,Central,Hartcliffe and Withywood,Lockleaze,Hillfields,Henbury and Brentry,Redland,Horfield,Knowle,Lawrence Hill,Hengrove and Whitchurch Park,Hotwells and Harbourside,St George Central,Stockwood,Southmead,Stoke Bishop,Westbury-on-Trym and Henleaze,Windmill Hill,Southville,St George Troopers Hill,St George West
Cotham,"(4, 5, 6)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","(1,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","(3, 4, 5, 6, 7, 8, 11)","(1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","(4, 6, 11, 12, 16, 17, 18, 19, 34)","(1, 2, 3, 4, 5, 6)","(1, 11, 12, 13, 14, 15, 16, 27)",(),"(1, 2, 3, 4, 5, 6, 7)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33)","(1, 3, 4, 5, 6)",(),"(1, 2, 3, 4)","(7, 8, 9, 10, 11, 12, 13, 14, 15, 16)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)","(1, 2, 25, 26)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)",(),"(6, 30, 31, 32, 33)","(1,)","(1, 2)","(1, 2, 3, 4, 5, 6, 7, 8, 13, 14, 15, 16, 18, 20)","(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 18, 19, 20, 21, 27, 28)",(),"(32,)",(),"(1, 2, 4, 5, 6, 7)","(1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 24, 25, 26, 27, 28)","(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 18)",(),()
Clifton Down,"(1, 30, 32, 33, 34, 35)","(1, 2, 3)","(1, 6, 8)","(1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",(),"(1,)",(),"(4, 5, 6, 7, 8, 9, 12)","(1, 2, 3, 4)","(1, 2, 3, 4, 24, 25)","(1, 2)",(),"(1, 2)","(1,)","(1,)",(),"(1,)","(1, 2, 3, 4)","(1,)",(),(),"(1, 2)","(1,)","(1,)",(),(),"(1, 2, 3, 4)",(),"(8,)",(),"(1, 2, 3, 4, 5, 8, 9)","(1,)",(),"(1, 2, 3, 4)"
Brislington West,"(1, 2, 3, 13, 14, 15, 16, 17, 25, 26, 27)","(1,)","(1,)","(1,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 13, 17, 18, 19, 21)",(),(),"(7, 8, 9, 10, 11)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27)",(),(),"(28,)","(1, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 23)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17)",(),"(4, 7, 8)","(1, 10, 12, 13)",(),"(8,)","(1,)",(),"(1, 2, 11)","(1, 2, 3, 7, 8)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 30, 31)"
Eastville,"(3, 4, 5, 6)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)","(1,)","(1, 12, 13, 14, 15, 16, 17, 18, 19)","(1, 2, 6, 7, 8, 34)","(1, 2, 3, 4, 5, 6)","(1, 4, 5, 18, 19)",(),"(1, 2, 3, 4)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","(3, 4, 5, 6, 12)","(12, 13)","(1, 3, 4)",(),(),"(1, 3, 4)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)","(1, 4, 5, 6, 24, 25, 26, 27, 28, 29)","(1, 11, 12, 13, 14, 15, 16, 17, 18)","(1, 12, 13, 14, 15, 16, 17, 18, 19)","(1, 2, 3, 4, 5, 6, 7, 9, 10, 21, 22, 23)","(1,)","(1, 2, 3, 4, 5, 6, 7, 9, 22, 23)","(7,)","(1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15)","(1, 2, 3, 4, 5, 6, 7, 8, 9)","(17, 18, 19)",(),"(1, 2)","(1, 4, 8, 9, 10)","(1,)","(1, 2, 3, 4, 5, 6, 11, 12)","(1, 2, 3, 4, 5, 6, 7)"
Central,"(1, 2, 3, 4, 5, 6, 8, 9)",(),(),"(1, 5, 6, 7, 8, 35)","(1, 2)","(1, 34)","(1, 2, 3, 29, 30)",(),"(1, 2, 3, 4, 6, 7, 8, 31, 32, 33, 34, 35)","(1, 25, 27, 30, 31, 32, 33)","(19, 20, 21, 27)","(12, 33, 34)","(1, 2, 4, 5)","(1, 2, 3, 4, 5, 27, 28)",(),(),"(33,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 15, 30)","(1, 2)","(1, 2, 3)","(2, 3, 4, 5, 6)",(),"(11,)",(),"(6, 7, 8, 9, 10, 11, 23, 24, 25)","(1,)","(1, 2, 3)","(1,)",(),(),"(1, 2, 27, 31, 32, 33, 34, 35)","(1, 30)","(33, 34, 35)",()
Hartcliffe and Withywood,"(3, 4)","(1, 2, 3)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29, 30)",(),"(1, 2, 3, 4, 5, 6, 7, 8)","(1, 2, 3, 4, 5, 6, 19, 20, 30, 31)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 17)","(1,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 17, 18, 19, 20)","(3, 4, 5)",(),"(3, 4, 5)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",(),(),"(1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 20, 34)","(3, 5)","(31,)","(1, 2, 3)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(1, 5, 11, 12, 13, 14, 15, 16, 19)","(30,)","(1, 2, 3, 4, 5, 28, 29, 30, 31)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 17)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 28)","(1, 14, 15, 17, 18, 19, 20, 26, 27)","(19, 20, 21, 22, 23, 24, 25, 26)","(1, 2, 17, 18, 19, 20, 21, 22, 31, 32, 33, 34, 35)","(1, 2, 3, 6, 7)","(1, 2, 3)","(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 27)"
Lockleaze,"(5,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 32, 33, 34, 35)","(1, 2, 3, 4, 6)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(1, 2)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(12, 13, 19, 26, 27, 28, 29)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 29)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27)","(8, 9, 10, 11, 12, 13, 14, 15, 16, 21)","(1, 4, 5, 6, 7, 9, 10, 11)","(1, 2, 3, 4, 5, 6, 7, 8, 16, 17, 34, 35)","(5, 6, 8, 9)","(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27)","(1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 20, 23, 24, 26, 27, 30, 31, 32, 33)","(3, 4, 5, 6)",(),"(1, 2, 3, 4, 5, 13, 14, 18, 19, 20, 21)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)","(2, 3, 4, 5, 6)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)"
Hillfields,"(4, 11, 24, 32, 33, 34)",(),"(1, 5)","(1, 7, 8, 11, 13)","(1,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","(1, 2, 4, 5, 13)",(),"(1, 2, 3, 4, 7, 8, 11)","(9, 10, 11, 12, 13, 14, 16, 18, 21, 24, 25, 26, 27)","(29, 31)","(1, 12, 13, 14)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27)","(1, 2, 3)",(),(),(),(),(),"(1, 2, 3, 7)","(1, 2, 15, 16)","(1, 5, 8, 9, 10, 11, 12, 13)","(1, 11)",(),"(1,)","(1, 2, 4, 5, 6)","(1, 2, 3)",(),"(18, 19, 20, 21, 22, 23, 26)","(16, 17, 18, 35)","(1,)","(1, 2, 3, 18, 20, 21)","(1, 29, 30)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 16, 17, 18, 19, 20, 21)"
Henbury and Brentry,"(1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 18, 19, 20, 21, 22)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 25, 32, 33)","(1, 2, 3, 4, 5, 6, 7, 8)","(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14)","(1, 2, 3, 4, 5, 6, 7, 8, 9)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 19, 20, 21, 22, 23, 24, 28, 31, 33)","(1, 3, 4, 35)","(1, 2, 3, 4, 5, 6, 7, 8)","(2,)","(1, 2, 3)","(2,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 28, 29, 31)","(4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 30, 31, 32, 33, 34, 35)","(1, 2, 3, 4)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",(),"(1, 2, 3, 4, 5)","(19, 20, 21, 22, 23, 25, 26)","(4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28)","(23,)","(1, 2, 5, 9)","(8, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 35)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 30, 31, 32, 35)","(1, 2, 7, 8, 33, 34)","(17,)",(),"(1, 4, 5, 6, 11)","(1, 2)",(),"(3, 4, 5, 6, 7, 8, 9, 10, 16, 17, 18, 19, 20)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 20)"
Redland,"(1, 2, 3)","(30, 31, 32, 34)","(1,)","(1, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17)","(1, 2, 3, 8, 9, 10, 11, 13, 15, 33, 34, 35)","(1, 20, 21)","(12, 14, 21)",(),"(9, 15)","(1, 2, 3, 5, 7, 8, 9, 12, 13, 14)",(),"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 27)",(),(),(),"(1, 2, 3, 4, 5, 31)","(2, 3)",(),(),(),"(31, 32, 33, 34, 35)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21)","(1, 33)","(1, 2)","(30, 31)","(1, 2, 3, 4, 5)","(31,)",(),"(1, 2, 3, 7, 8, 9, 10, 22, 24, 26, 27, 28)","(1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)","(1, 2, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",(),"(1,)"
Horfield,"(1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 31)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26)","(30, 31, 32, 33, 34)","(1, 2, 3, 4, 5, 6, 7, 8)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29)","(1, 2, 3, 4, 5, 6)","(1, 2)","(7,)","(1, 2, 3, 4, 7)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)","(1, 2, 3, 4, 5, 6, 9, 29, 30, 31, 32, 33, 34)","(1,)","(35,)","(2, 18, 25, 26, 27, 28)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20)","(25, 27)","(1, 3, 4, 5, 6)",(),(),"(18,)",(),(),"(1, 2)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","(3, 25, 26, 27, 28, 29)",(),"(1,)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","(1, 2, 3, 4, 5, 6, 7)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 20, 24)","(1, 2, 3, 4, 5, 6, 7, 8, 9)"
Knowle,"(1, 2, 4, 7, 8)","(1, 2, 4, 5)","(1,)","(14, 15)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16)",(),"(1, 4, 9, 10, 11, 24, 25)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29, 35)","(1, 2, 3, 4)","(23,)",(),"(2,)",(),(),"(1, 2, 3, 5, 6, 7, 8, 11, 14, 19, 35)","(1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26)",(),"(1, 2, 3, 4, 5, 6, 7, 11, 12, 13, 34)",(),"(24, 25)","(1,)",(),(),"(1, 2, 27, 33)","(19, 20, 21, 22, 35)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 14, 15, 16, 17, 18, 22, 23, 24, 25, 26, 27)",(),"(17, 18, 19, 20, 21, 22, 23, 31, 32)",(),"(1, 12, 13, 14, 15, 17, 18, 19, 20, 21)","(1, 2, 3, 4, 5, 12, 13, 14, 15, 16, 34)","(5,)","(6, 7)",()
Lawrence Hill,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 23, 24, 25, 26)","(1,)","(1,)","(1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 34)","(1, 2)","(1, 2, 4, 5, 6)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)","(1, 2, 35)","(1, 2, 3, 4)","(1, 2, 3, 4, 5, 6, 7)","(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 21)","(1, 17, 18, 19, 20, 21, 30, 34)","(35,)","(1, 4, 35)","(1, 35)","(1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 23, 24, 30, 31, 32, 33)","(1,)","(1, 2, 33, 35)","(1,)","(6, 7, 10, 11, 12, 13, 14, 21, 22, 23, 24, 31, 32)",(),"(1, 2, 3, 4, 5, 6, 14, 27, 28, 34)","(1, 2, 3, 4, 5, 6, 7, 8)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13)","(2, 3, 4, 5, 6, 7, 8, 9, 10)","(2, 20, 22, 23, 31, 32, 33, 34)",(),"(1, 2, 3)","(1, 2, 3, 4, 5, 6, 7)","(1, 3, 11)","(29, 30, 31, 32)","(1,)"
Hengrove and Whitchurch Park,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 22, 23, 24, 25, 26, 27, 29, 30, 32, 33)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)",(),"(1, 2, 5, 6, 7, 8, 9)","(1, 2, 3, 4, 5, 6, 7, 8, 12, 13, 14, 15, 21)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29)","(1, 2)","(1, 2, 3, 4, 5)",(),(),"(1, 2, 3, 4)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 19)","(1, 2, 3, 4, 5, 6, 8)","(2, 3, 5, 13, 16, 21)","(1, 2, 7, 8, 10, 12, 15, 16, 17, 18)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)","(1, 2, 4, 5, 6, 7, 8, 9)","(1, 34, 35)",(),"(5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)","(9, 10, 11, 12, 13, 14, 15, 35)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26)",(),(),"(1, 2, 3)","(1, 2, 3, 4, 5, 6, 7, 8)","(13,)","(2, 3, 4, 6, 7, 27, 28, 29, 30)","(1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)"
Hotwells and Harbourside,(),"(1,)","(1, 25, 26, 27, 28)",(),(),(),(),(),"(1, 2, 3)",(),(),(),(),"(1,)",(),"(1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","(3, 5)","(1, 2, 3, 4, 5, 6, 7, 8, 12, 23, 24, 26, 27, 28, 29)","(6, 7, 18, 19, 20)",(),"(1,)",(),(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 26)","(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 23, 28, 29)",(),"(1, 7)","(1, 5, 6, 10, 13)",(),"(13, 14)",()
St George Central,"(1,)","(1, 2, 7)","(1, 2, 20, 24, 25, 26, 27, 28, 30)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 20, 21, 22)","(1, 2, 3, 4, 5, 6)","(1, 2, 3, 4, 5, 6, 7, 8, 11, 13)",(),"(1, 2, 3, 4, 6)","(1, 2, 3, 4, 5)",(),"(1, 2, 3, 4, 5, 6, 14)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)","(1, 2, 3, 4, 5, 6, 30, 31, 35)",(),"(1, 2, 3, 4, 5, 6, 13, 14)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18)","(1,)",(),"(1, 2, 3, 4, 5, 6, 15, 16)","(1, 5, 6, 7, 8, 9, 10, 11)","(1, 13, 14, 15, 16)","(5,)",(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 15, 19, 20, 21, 22, 23)","(1, 2, 35)",(),"(1, 3, 5, 8, 9, 10, 11, 12, 13)","(1, 2, 3, 4, 5)","(1,)","(1, 2, 3, 4, 5, 6)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 25, 26)"
Stockwood,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26)","(1, 2, 3, 4, 5, 7, 8, 9)",(),(),"(1,)","(1, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34)","(1, 7, 8, 9, 10, 11, 12, 13, 14, 27, 30)",(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)","(28,)",(),"(8, 32)",(),"(1, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27)","(7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27)",(),(),"(1, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 27, 28, 29, 30)","(1, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24)",(),"(13,)","(9,)",(),"(1,)","(13, 15, 16, 18, 22)","(8, 9, 14, 15, 16, 32)",(),(),(),(),"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)","(1,)",(),"(1,)"
Southmead,"(5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 21, 30, 33, 34)","(1, 2, 18, 20)","(6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)","(1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 20, 21)","(1, 2, 3, 4, 5, 6, 7, 8, 26, 27, 28, 29)","(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 28, 34, 35)","(1,)","(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)","(1, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29)","(6, 25, 26, 27, 28)","(1, 30, 31, 32)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 18, 23)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 35)","(1, 2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31)","(7, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 30, 31)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24)","(1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28)","(7, 8, 9, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)","(5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(1, 4, 5, 6, 7, 15, 16, 17, 34)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 25, 31)","(1, 2)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19)","(2, 5, 30)",(),(),"(1, 5, 6, 7, 8, 9, 10, 27, 28, 29, 30, 31, 32, 33)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",(),"(7, 8, 9, 10, 11, 12, 31, 32, 33)","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 25, 26, 28)"
