,,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
time,,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022,Year ending Mar 2023
ward i,ward j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley,Ashley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999996,0.9999999999999997,1.0,1.0,0.9999999999999997,0.9999999999999997,1.0000000000000002,0.9999999999999998,1.0,1.0,0.9999999999999997,0.9999999999999998,0.9999999999999994,0.9999999999999994,0.9999999999999999,1.0,0.9999999999999994,1.0,0.9999999999999997,0.9999999999999998,0.9999999999999994,0.9999999999999997,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000004,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000004,1.0,1.0000000000000002,1.0000000000000002
Ashley,Bedminster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3455232231565975,0.32291352248527294,0.2900435537063977,0.31631433863893627,0.34938563394220035,0.36533271033014975,0.36628256984225604,0.4380112070280328,0.42644910342494236,0.43989467460883835,0.48072968498103386,0.5560834176573547,0.5738278857329243,0.5928378518022677,0.6708916596123714,0.6720868051717724,0.6434748518285345,0.664672188894368,0.5351152838056114,0.5415044967482052,0.5372238659731752,0.5438341660914895,0.5047288210104831,0.5020053633644018,0.491374395679494,0.504893735990164,0.5035527256590909,0.393147540328707,0.43590537874053104,0.39048438453297785,0.3945697150768714,0.41442038536677694,0.39713271535566735,0.38986064744906457,0.39664407155858034,0.4238647631866086,0.420486429267326,0.44246886205792624,0.42379593278355226,0.431141229166722,0.43512975349048083,0.43259597333585925,0.47536024866006077,0.4673004593394888,0.4673514493111935,0.4585200297519452,0.45730816350563275,0.4488450671516759,0.4467651384349324,0.44975219253897314,0.3596869163554809,0.3226387846821358,0.304181213262549,0.29086092526369217,0.09410428642633341,0.09377423524112406,0.10437942001750128,0.1099883949647237,0.24187163293923528,0.23985795450211206,0.24755872124400927,0.2256046665069797,0.26089637928985937,0.24861155168923307,0.22117377743410355,0.23613789175089803,0.2446339767460928,0.19575478759017664,0.19602660755610543,0.1949996158876654
Ashley,Avonmouth and Lawrence Weston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09203456454493122,-0.15950713422790797,-0.19693999710702284,-0.17991065198001863,-0.16931638497711718,-0.18699169961782605,-0.1849484408205454,-0.19165835981962578,-0.18368943307459773,-0.16490553633013508,-0.13610452191949662,0.021375244991845274,0.10027624230250831,0.1354716075979015,0.2830574362849612,0.29122140891478643,0.31619152375544757,0.37680509104610044,0.3476233845147125,0.34374000985193204,0.3449821450054928,0.41337305501452076,0.39173080422885753,0.3944740810172554,0.37116408059962647,0.38516333901668665,0.3399209692275192,0.31758495274894977,0.30131980271291836,0.2947645962310519,0.29524236138281923,0.28173406770593373,0.3005806480769046,0.30845947849259286,0.3216714621551311,0.3362861921051422,0.3338334336085747,0.37068967435953776,0.3761059440373289,0.37888310746104803,0.39238563102948193,0.3953031667016149,0.39487442979373977,0.4129334098181248,0.41236881590947627,0.4221402199039031,0.41873728751253675,0.4196275954330117,0.41405140723664546,0.4362088572864734,0.3334217063767139,0.31016912613497044,0.30375714104916424,0.3032169185513111,0.10047396478907993,0.09714295946080341,0.1181193926663243,0.10983680544906156,0.1603729701271616,0.1607221857145124,0.23282263544992893,0.30456218502749605,0.3112695429676031,0.29535474466545547,0.30371050327145366,0.271904159518475,0.2850260746786409,0.27748969644712207,0.2989809826262404,0.29750318110425106
Ashley,Bishopsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275239222129465,0.2518116295859239,0.20698536529485573,0.2450946974297635,0.24395796979687484,0.2586125643229159,0.25552850103341845,0.21322956908127405,0.21631584789788796,0.23415546477991236,0.3198617927894438,0.3653161209449533,0.3846985632465861,0.3749786064886763,0.48366134666743615,0.5313541801990629,0.49732714123855315,0.4674231170249153,0.42140544406931096,0.4021353354230416,0.40442012201300176,0.40253288100227985,0.35827753743786156,0.337008117838974,0.37874207755389044,0.38451500940785704,0.3337586500543145,0.32990005678598555,0.33531303149799396,0.2621545162541288,0.28695381737992215,0.2538212784732352,0.2431661247611711,0.24037733636650718,0.24958513566060767,0.2755545846068118,0.2665013040628184,0.26917511712778747,0.26869539072392723,0.277195219067534,0.29187048092925655,0.29659745341491595,0.3856791005370675,0.3913656943853605,0.40652772624631484,0.4218979782583257,0.42028186436836734,0.4268975265762914,0.4323743179625516,0.42684230178487953,0.38267522677659116,0.34133183184689025,0.3319031253069731,0.32852312819604695,0.26699896496010445,0.2643938009411164,0.25978407285987376,0.2539533863598634,0.301299806643674,0.3342017945358164,0.31918909775464327,0.34476897176710414,0.39018806488640173,0.40899665276826896,0.42070004038790054,0.4526881876429871,0.4774901342908486,0.4443750492793843,0.45945728267362157,0.4587886168039558
Ashley,Bishopston and Ashley Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20883276200620424,0.19875588822335497,0.15450294499453066,0.18319529816672817,0.1722618704059549,0.19240924407155635,0.1874797704720723,0.28556570616199844,0.29050923636694903,0.3268163712693487,0.42037651355707956,0.49781788216496126,0.5000994014645466,0.5176881086069666,0.5132690514344749,0.4858869840758174,0.42780716530826646,0.43164332013736056,0.3791945240146717,0.38991918366999156,0.38530478232838633,0.3721923521451865,0.35036333494343375,0.3611605945965418,0.36249851714821507,0.3567151467886627,0.3475440694386235,0.28624802544761513,0.2823030053613088,0.23001026478322867,0.2501703510285415,0.22337600789620382,0.23666202481402593,0.235444108182634,0.22480048655862725,0.24112298316472905,0.23345661565159273,0.24119243240766278,0.2485045793996233,0.2585588026020162,0.27417753778825604,0.2787505622818935,0.2641484973551653,0.2927640953330014,0.30344822889565687,0.3002940696706665,0.28618222688660633,0.28483656153191017,0.29224258625289035,0.2832029261698987,0.30792558314351787,0.24502314145009835,0.25986615090115917,0.2564547632990955,0.14207383279961747,0.13761869713484087,0.1671802470197612,0.16324003417337227,0.2285922804557768,0.25816975113406415,0.33496461562374796,0.37468953801267535,0.4031003799422894,0.39205595113099323,0.4020798524855137,0.3926232906975601,0.386961791228748,0.37080552162689756,0.39073622473929387,0.3636429488899968
Ashley,Brislington East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18922226435404677,0.1607771779072444,0.20232736998350503,0.18676630538064412,0.21229059146923468,0.2421858213484387,0.23824880658759234,0.2429220152051391,0.2406249632147728,0.22545033107547663,0.2568775341927293,0.3863040381423973,0.44644632584855254,0.4767896677792426,0.5519617677069916,0.5488799050329431,0.5519346425984407,0.5529507642963625,0.5361476568328092,0.542510303210167,0.5350775774403788,0.5491535501525059,0.4978057286329081,0.5029022057764098,0.4785624318563924,0.48318504488822994,0.4727029041659838,0.3962222125403407,0.37201455190043964,0.2907975623808466,0.323652699638227,0.32923720079490426,0.2818157165273578,0.2681313686388747,0.27905830630947237,0.2899163129140299,0.2834790440223647,0.25694398034682314,0.2597069739139777,0.26999141891634965,0.2843889967602376,0.2908469823545398,0.2887934977173641,0.34889538980210444,0.34328120713823257,0.32514334284287716,0.3149117539927701,0.3200255338501,0.3214554514742564,0.3283785891877161,0.2766326334904689,0.24479831386053127,0.23722798231192427,0.22778797175707105,0.0993979607644823,0.09055726525892793,0.09643340107717766,0.09868536046336829,0.1084405833994336,0.07503653284328439,0.07945237916436959,0.08661043459553318,0.12782760975026475,0.13110724207252916,0.11674766517484025,0.13194722067509954,0.10690400528410425,0.09606512047007543,0.13779067584657376,0.14012042993577595
Ashley,Easton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3935957633037435,0.3694378435954748,0.33636003089563526,0.37184348062032446,0.3740886062106514,0.3782646036858291,0.37316232038461805,0.2803528565635272,0.2616057248569411,0.2613463164470292,0.28118114900890795,0.3745907444047976,0.42575747015518495,0.45917269463583754,0.5668842875350136,0.5614324312445361,0.5482312349865397,0.5711322582696446,0.5539492608371752,0.5714310638261937,0.5664802673236177,0.5988722242805887,0.5708617979903609,0.5583382835102134,0.5478922970855689,0.5388754288646623,0.5263456603623742,0.47208541822092737,0.4614516229654543,0.4227002478380389,0.44753228351457114,0.43141073604990693,0.4352057314832845,0.42695673264617784,0.4276654049830601,0.45119630015437223,0.41881511249367964,0.4411043220697111,0.4432247645513464,0.4512316678167359,0.45052193178844724,0.4544445779089535,0.4770492753207777,0.5096552846395261,0.5178900507434171,0.5139045834201972,0.5072548668568632,0.5131821173906901,0.5262688023681892,0.5428123183735996,0.4687162888670444,0.42678253561244833,0.4178612755881361,0.41835955158227695,0.17623314559400813,0.17568587727187174,0.18281130546294763,0.17499738839455325,0.1710612310571604,0.18567966527358773,0.20018348462305127,0.22780714152214881,0.26887387271729424,0.2502413234766072,0.22513656354611322,0.17467667011957905,0.1898377036887894,0.19640393895976052,0.23107190221797533,0.2175546577459616
Ashley,Clifton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21909539957144294,0.21427199371879016,0.18882432660980653,0.19863832471233817,0.21646255472953976,0.21560822830589538,0.22052936019655267,0.32242913679203694,0.33508886641501495,0.29974676137756734,0.3637764302945624,0.40220418135173647,0.45642868718618246,0.45889665856799355,0.47183152023599095,0.4269133544696528,0.381137041308322,0.33285390972419066,0.2890906150522024,0.2861180489538607,0.27393707076306795,0.2686675257578055,0.2173121266648376,0.18572849874463865,0.17433119176626743,0.11940553710244073,0.09651054653508301,0.018790458004997318,0.04191866944238455,0.001362162241123505,0.001504179938977953,-0.006482615805187684,0.018293676900361953,0.02011079985916541,0.006861305934643032,0.026470495596601282,0.022726964017424488,0.08634221967289266,0.0994566020875964,0.11968404013063402,0.1281514562855878,0.14279639404252928,0.1459828079086815,0.22657103434312093,0.23607519751556802,0.2112047265509234,0.21130078602291558,0.21088369076376132,0.1929543299888222,0.22709866557787592,0.3115046207771774,0.30715881411669405,0.3020529533666073,0.26749407562105343,0.2514596603657559,0.25171737686484175,0.25185715164000555,0.24402455531695663,0.28462734158797415,0.314804634634664,0.3836190356433015,0.38722488897050517,0.4422705242180306,0.4334312721455749,0.41825724219837207,0.3980067509947339,0.41961043863425984,0.4386163175540345,0.42647166352099947,0.42248809311968816
